<ERRCODE>,,,,,,,
8300,350,917,,6,安全スレーブ局用パラメータ 不整合,"下記不整合内容は、エラー個別情報欄に表示されたコードに対応するものを参照してください。

<201>ノイズ除去フィルタ時間不整合
(入力ダークテストパルスOFF 時間が「ノイズ除去フィルタ時間X0,1」の設定より大きい)

<601>出力配線方法不整合
（出力配線方法が“ソース＋ソース”の場合、ペアとなる出力配線方法の設定が同一ではない）

<701>出力ダークテスト実施選択不整合
（出力配線方法が“ソース＋ソース”の場合、出力ダークテスト実施選択の設定が同一ではない）","・エラー内容から不整合を判断し、パラメータを修正する。
・CSP ファイルが破損していないか、最新のCSP ファイルを登録しているかを確認し、再度安全リモートI/O ユニットのパラメータを設定する。"
8300,450,102,,2,二重化入力不一致検出異常,ペアとなる入力（X0 とX1、X2 とX3…）で二重化入力不一致検出時間を超えて不一致が検出された。,接続機器および配線を見直す。
8300,450,203,,,出力過負荷異常（Safety LED 点灯前診断時）,出力回路のトランジスタで過電流保護あるいは過熱保護が働いた。,"(1) 接続機器および配線を見直す。
(2) 安全リモートI/O ユニットを交換する。"
8300,450,204,,3,出力リードバック異常（Safety LED 点灯前診断時）,"出力値とリードバック値が一致しない。
（シンク側（-）はエラー検出対象外)","(1) 接続機器および配線を見直す。
(2) 安全リモートI/O ユニットを交換する。"
8300,450,209,,,出力過負荷異常（Safety LED 点灯中診断時）,出力回路のトランジスタで過電流保護あるいは過熱保護が働いた。,"(1) 接続機器および配線を見直す。
(2) 安全リモートI/O ユニットを交換する。"
8300,450,210,,3,出力リードバック異常（Safety LED 点灯中診断時）,"リードバック値と出力値が一致しない。
（シンク側（-）はエラー検出対象外)","(1) 接続機器および配線を見直す。
(2) 安全リモートI/O ユニットを交換する。"
8300,450,304,,4,入力ダークテスト異常,入力ダークテスト実施中に、テストパルスが検出できなかった。,"(1) 接続機器および配線を見直す。
(2) 安全リモートI/O ユニットを交換する。"
8300,450,305,,5,出力ダークテスト異常,出力ダークテスト実施中に、テストパルスが検出できなかった。,"(1) 接続機器および配線を見直す。
(2) 安全リモートI/O ユニットを交換する。"
8300,450,402,,,外部供給電源電圧異常,外部供給電源の電圧異常またはハードウェア異常,"(1) 接続機器、配線および電圧を見直す。
(2) 外部供給電源ON のタイミングをユニット電源ON のタイミングにあわせる。"
8300,450,404,,,外部供給電源異常,外部供給電源の電圧異常またはハードウェア異常,"(1) 接続機器、配線および電圧を見直す。
(2) 外部供給電源ON のタイミングをユニット電源ON のタイミングにあわせる。"
8300,450,427,,,出力駆動電源供給状態異常,出力駆動電源が不正な遮断／供給状態にある。,"(1) 接続機器および配線を見直す。
(2) 外部供給電源ON のタイミングをユニット電源ON のタイミングにあわせる。"
8300,450,735,,,ユニットテクニカルバージョン組合せ不可,パラメータにて設定されたユニットテクニカルバージョンとユニットのユニットテクニカルバージョンが組合せ不可であった。,(1) パラメータの設定を本来のユニットテクニカルバージョンに設定する。
8300,450,908,,,故障履歴読出し状態記録,"故障履歴の読出し状態記録。
故障履歴がない状態で故障履歴を読み出した。
新たにエラーコードが格納されると、本エラーコードは履歴から読み出されなくなる。
故障履歴はMPU A 用とMPU B 用の2つ存在し、どちらか片方に履歴が存在しない場合に出力される。
また、両方存在しない場合は、2つ出力される。","ユニットは正常です。
そのまま使用してください。"
8300,450,911,,,ユニット強制停止制御,"マスタからの強制停止コマンドを受け、安全リモートI/O ユニットの動作を停止した。
ユニット強制停止制御。
ただし、エラー送信後や故障履歴の読出し時に受信されるものは除外する。",安全CPU ユニット／安全マスタユニットのエラー履歴を参照する。
8300,450,1011,,,外部供給電源電圧降下,電圧降下が発生した。,"(1) 接続機器および配線を見直す。
(2) 外部供給電源ON のタイミングをユニット電源ON のタイミングにあわせる。
(3) 安全リモートI/O ユニットを交換する。"
8300,450,1213,,,電源投入時の設定登録スイッチ状態異常,電源ON 時に設定登録スイッチのON を検出した。,"(1) 設定登録スイッチを押したまま電源ON およびリセット操作をしない。
(2) 設定登録スイッチを押していない状態の電源ON およびリセット操作で本エラーが発生する場合は、設定登録スイッチが故障しているため、ユニットを交換する。"
</ERRCODE>,,,,,,,
